Date	CA	FL	IL	MD	MI	NJ	OH	NY	PA	TX	 	 	 	 	 
1999	2662	997	825	629	460	557	467	959	990	1087			 		
2000	1941	1159	868	623	561	643	563	767	1147	1021					
2001	1226	1746	892	629	621	705	737	1079	958	1378					
2002	2975	1927	986	723	751	813	931	923	1097	1598					
2003	3108	2054	847	779	761	721	775	964	1381	1753					
2004	3125	2264	1035	676	867	590	1136	831	1544	1813					
2005	3214	2371	1067	656	985	823	1243	944	1613	872					
2006	3494	2591	1369	762	1176	847	1515	1680	1638	975					
2007	3854	2794	1192	769	727	1708	1592	1708	1733	2194					
2008	3863	2963	1353	693	1239	702	1733	1691	1850	2053					
2009	4056	3092	1381	743	1429	263	1236	1592	1909	2409					
2010	4057	3061	1288	650	1394	868	1835	1557	1916	2399					
2011	4180	2918	1408	707	1386	1012	2025	1948	2289	2589					
2012	4040	2597	1628	831	1308	1222	2125	2106	2365	2447					
2013	4452	2474	1579	892	1553	1294	2347	2309	2426	2446					
2014	4521	2634	1705	1070	1762	1253	2744	2300	2732	2601					
2015	4659	3228	1835	1285	1980	1454	3310	2754	3264	2588					
